Index,HIERARCH ESO OBS PROG ID,HIERARCH ESO OBS NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO DET DIT,HIERARCH ESO DET NDIT,HIERARCH ESO TPL ID,HIERARCH ESO TPL NEXP,HIERARCH ESO TPL EXPNO,JITTR_ID,NJITTER,JITTER_I,ESOGRADE,RA,DEC,FWHM,Filename
0,098.B-0510(A),MS_DV2_V5_OB26,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,A,358.4414,-52.4373,0.666281,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160910_00142_st.fit
1,098.B-0510(A),MS_DV2_V5_OB26,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,A,358.591321,-52.43721,0.66172534,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160910_00145_st.fit
2,098.B-0510(A),MS_DV2_V5_OB26,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,A,358.592283,-52.62019,0.66209934,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160910_00148_st.fit
3,098.B-0510(A),MS_DV2_V5_OB26,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,A,358.441425,-52.6205,0.67393134,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160910_00151_st.fit
4,098.B-0510(A),MS_DV2_V5_OB26,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,A,358.29025,-52.6204,0.63689684,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160910_00154_st.fit
5,098.B-0510(A),MS_DV1_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,C,351.377896,-53.28692,1.20449284,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00154_st.fit
6,098.B-0510(A),MS_DV1_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,C,351.531417,-53.287,1.22405814,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00157_st.fit
7,098.B-0510(A),MS_DV1_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,C,351.684292,-53.28691,1.1819573,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00160_st.fit
8,098.B-0510(A),MS_DV1_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,C,351.6853,-53.46988,1.21440554,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00163_st.fit
9,098.B-0510(A),MS_DV1_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,C,351.531446,-53.4702,1.4021923,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00166_st.fit
10,098.B-0510(A),MS_DV1_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,C,351.37725,-53.47009,1.2005026,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00169_st.fit
11,098.B-0510(A),MS_DV2_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,C,358.290867,-52.43722,1.25406688,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00172_st.fit
12,098.B-0510(A),MS_DV2_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,C,358.4414,-52.4373,1.16821994,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00175_st.fit
13,098.B-0510(A),MS_DV2_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,C,358.591321,-52.43721,1.08485636,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00178_st.fit
14,098.B-0510(A),MS_DV2_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,C,358.592283,-52.62019,0.99750594,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00181_st.fit
15,098.B-0510(A),MS_DV2_V5_OB27,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,C,358.441425,-52.6205,0.9879159,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20160911_00184_st.fit
