# IM_FILE	 			OBJECT		FILTER	WEIGHT_FILE				ZP	FWHM	MJD		EXPTIME   NCHIP
# Night 1
# Problems with astrometric calib c4d_140910_010641_ooi_g_v1.fits.fz	SDSSJ2300-0000	g	c4d_140910_010641_oow_g_v1.fits.fz	25.78  	0.  56910.04559328	15.0   60   T
c4d_140910_010725_ooi_i_v1.fits.fz	SDSSJ2300-0000	i	c4d_140910_010725_oow_i_v1.fits.fz	27.245 	0.  56910.04607442	15.0   60   T
c4d_140910_010806_ooi_z_v1.fits.fz	SDSSJ2300-0000	z	c4d_140910_010806_oow_z_v1.fits.fz  26.983 	0.  56910.04655557	15.0   60   T
c4d_140910_011117_ooi_g_v1.fits.fz	SDSSJ2140-0000	g	c4d_140910_011117_oow_g_v1.fits.fz	27.381 	0.  56910.04878763	15.0   60   T
c4d_140910_011201_ooi_i_v1.fits.fz	SDSSJ2140-0000	i	c4d_140910_011201_oow_i_v1.fits.fz	27.699 	0.  56910.04926999	15.0   60   T
c4d_140910_011239_ooi_z_v1.fits.fz	SDSSJ2140-0000	z	c4d_140910_011239_oow_z_v1.fits.fz	27.558 	0.  56910.04974495	15.0   60   T
c4d_140910_071557_ooi_g_v1.fits.fz	SDSSJ2300-0000	g	c4d_140910_071557_oow_g_v1.fits.fz	27.29  	0.  56910.30202071	15.0   60   T
c4d_140910_071641_ooi_i_v1.fits.fz	SDSSJ2300-0000	i	c4d_140910_071641_oow_i_v1.fits.fz	27.712 	0.  56910.30251989	15.0   60   T
c4d_140910_071721_ooi_z_v1.fits.fz	SDSSJ2300-0000	z	c4d_140910_071721_oow_z_v1.fits.fz	27.208 	0.  56910.30300833	15.0   60   T
c4d_140910_072037_ooi_g_v1.fits.fz	SDSSJ0200-0000	g	c4d_140910_072037_oow_g_v1.fits.fz	27.325 	0.  56910.30526227	15.0   60   T
c4d_140910_072122_ooi_i_v1.fits.fz	SDSSJ0200-0000	i	c4d_140910_072122_oow_i_v1.fits.fz	27.865 	0.  56910.30576125	15.0   60   T
c4d_140910_072204_ooi_z_v1.fits.fz	SDSSJ0200-0000	z	c4d_140910_072204_oow_z_v1.fits.fz	27.685 	0.  56910.30625464	15.0   60   T
c4d_140910_100044_ooi_g_v1.fits.fz	SDSSJ0200-0000	g	c4d_140910_100044_oow_g_v1.fits.fz	27.25  	0.  56910.41644416	15.0   60   T
c4d_140910_100124_ooi_i_v1.fits.fz	SDSSJ0200-0000	i	c4d_140910_100124_oow_i_v1.fits.fz	27.746 	0.  56910.4169276	15.0   60   T
c4d_140910_100210_ooi_z_v1.fits.fz	SDSSJ0200-0000	z	c4d_140910_100210_oow_z_v1.fits.fz	27.472 	0.  56910.4174286	15.0   60   T
c4d_140910_100427_ooi_g_v1.fits.fz	SDSSJ0320-0000	g      	c4d_140910_100427_oow_g_v1.fits.fz	27.36  	0.  56910.4189999	15.0   60   T
c4d_140910_100507_ooi_i_v1.fits.fz	SDSSJ0320-0000	i	c4d_140910_100507_oow_i_v1.fits.fz	27.731 	0.  56910.41950226	15.0   60   T
c4d_140910_100547_ooi_z_v1.fits.fz	SDSSJ0320-0000	z	c4d_140910_100547_oow_z_v1.fits.fz	27.427 	0.  56910.42000241	15.0   60   T
