# IM_FILE	 			OBJECT		FILTER	WEIGHT_FILE				ZP	FWHM	MJD 		EXPTIME  NCHIP
# Night 1
c4d_141017_235608_ooi_g_v1.fits.fz	SDSSJ0000-0000	g  	c4d_141017_235608_oow_g_v1.fits.fz	27.443 	0.  56947.9965729	15.0   60   F
c4d_141017_235648_ooi_r_v1.fits.fz	SDSSJ0000-0000	r	c4d_141017_235648_oow_r_v1.fits.fz	27.949 	0.  56947.99705481	15.0    60   F
c4d_141017_235732_ooi_i_v1.fits.fz	SDSSJ0000-0000	i	c4d_141017_235732_oow_i_v1.fits.fz	27.394 	0.  56947.99754814	15.0   60   F
# Night 2
c4d_141018_000134_ooi_g_v1.fits.fz	SDSSJ2300-0000	g  	c4d_141018_000134_oow_g_v1.fits.fz	27.644 	0.  56948.00036201	15.0   60   F
c4d_141018_000218_ooi_r_v1.fits.fz	SDSSJ2300-0000	r  	c4d_141018_000218_oow_r_v1.fits.fz	28.079 	0.  56948.00083793	15.0   60   F
c4d_141018_000301_ooi_i_v1.fits.fz	SDSSJ2300-0000	i  	c4d_141018_000301_oow_i_v1.fits.fz	27.958 	0.  56948.00131366	15.0   60   F
c4d_141018_001319_ooi_g_v1.fits.fz	SDSSJ2140-0000	g  	c4d_141018_001319_oow_g_v1.fits.fz	27.75  	0.  56948.00852164	15.0    60   F
c4d_141018_001402_ooi_r_v1.fits.fz	SDSSJ2140-0000	r  	c4d_141018_001402_oow_r_v1.fits.fz	28.075 	0.  56948.00900139	15.0   60   F
c4d_141018_001441_ooi_i_v1.fits.fz	SDSSJ2140-0000	i  	c4d_141018_001441_oow_i_v1.fits.fz	28.068 	0.  56948.00948893	15.0   60   F
c4d_141018_033454_ooi_g_v1.fits.fz	SDSSJ0320-0000	g  	c4d_141018_033454_oow_g_v1.fits.fz	27.784 	0.  56948.14850379	15.0   60   F
c4d_141018_033534_ooi_r_v1.fits.fz	SDSSJ0320-0000	r  	c4d_141018_033534_oow_r_v1.fits.fz	28.205 	0.  56948.14898449	15.0   60   F
c4d_141018_033616_ooi_i_v1.fits.fz	SDSSJ0320-0000	i  	c4d_141018_033616_oow_i_v1.fits.fz	28.1885	0.  56948.14946545	15.0   60   F
c4d_141018_035106_ooi_g_v1.fits.fz	SDSSJ0000-0000	g  	c4d_141018_035106_oow_g_v1.fits.fz	27.87  	0.  56948.1597165	15.0   60   F
c4d_141018_035143_ooi_r_v1.fits.fz	SDSSJ0000-0000	r  	c4d_141018_035143_oow_r_v1.fits.fz	28.252 	0.  56948.16020467	15.0   60   F
c4d_141018_035226_ooi_i_v1.fits.fz	SDSSJ0000-0000	i  	c4d_141018_035226_oow_i_v1.fits.fz	28.218 	0.  56948.16069275	15.0   60   F
c4d_141018_091951_ooi_i_v1.fits.fz	SDSSJ0843-0000	i  	c4d_141018_091951_oow_i_v1.fits.fz	28.163 	0.  56948.38804597	15.0   60   F
c4d_141018_092033_ooi_r_v1.fits.fz	SDSSJ0843-0000	r  	c4d_141018_092033_oow_r_v1.fits.fz	28.173 	0.  56948.38854973	15.0   60   F
c4d_141018_092116_ooi_g_v1.fits.fz	SDSSJ0843-0000	g  	c4d_141018_092116_oow_g_v1.fits.fz	27.825 	0.  56948.38902644	15.0   60   F
