# IM_FILE	 			OBJECT		FILTER	WEIGHT_FILE			ZP	FWHM	MJD	 EXPTIME  NCHIP   60   F
# Night 1
c4d_150908_023510_ooi_Y_v1.fits.fz	SDSSJ0000-0000	Y c4d_150908_023510_oow_Y_v1.fits.fz  26.592 	0.  57273.10692968	20.0   60   F
c4d_150908_023553_ooi_z_v1.fits.fz	SDSSJ0000-0000	z c4d_150908_023553_oow_z_v1.fits.fz  27.512 	0.  57273.10749406	15.0   60   F
c4d_150908_023637_ooi_i_v1.fits.fz	SDSSJ0000-0000	i c4d_150908_023637_oow_i_v1.fits.fz  27.872 	0.  57273.10796962	15.0   60   F
c4d_150908_023717_ooi_r_v1.fits.fz	SDSSJ0000-0000	r c4d_150908_023717_oow_r_v1.fits.fz  27.86  	0.  57273.10847013	15.0   60   F
c4d_150908_023758_ooi_g_v1.fits.fz	SDSSJ0000-0000	g c4d_150908_023758_oow_g_v1.fits.fz  27.366 	0.  57273.10895815	15.0   60   F
c4d_150908_023841_ooi_g_v1.fits.fz	SDSSJ2140-0000	g c4d_150908_023841_oow_g_v1.fits.fz  27.326 	0.  57273.1094415	15.0   60   F
c4d_150908_023923_ooi_r_v1.fits.fz	SDSSJ2140-0000	r c4d_150908_023923_oow_r_v1.fits.fz  27.833 	0.  57273.10992247	15.0   60   F
c4d_150908_024007_ooi_i_v1.fits.fz	SDSSJ2140-0000	i c4d_150908_024007_oow_i_v1.fits.fz  27.826 	0.  57273.1104105	15.0   60   F
c4d_150908_024047_ooi_z_v1.fits.fz	SDSSJ2140-0000	z c4d_150908_024047_oow_z_v1.fits.fz  27.486 	0.  57273.11089371	15.0   60   F
c4d_150908_024134_ooi_Y_v1.fits.fz	SDSSJ2140-0000	Y c4d_150908_024134_oow_Y_v1.fits.fz  26.734 	0.  57273.11137041	20.0   60   F
c4d_150908_055112_ooi_Y_v1.fits.fz	SDSSJ0000-0000	Y c4d_150908_055112_oow_Y_v1.fits.fz  26.904 	0.  57273.24302925	20.0   60   F
c4d_150908_055151_ooi_z_v1.fits.fz	SDSSJ0000-0000	z c4d_150908_055151_oow_z_v1.fits.fz  27.792 	0.  57273.24359133	15.0   60   F
c4d_150908_055234_ooi_i_v1.fits.fz	SDSSJ0000-0000	i c4d_150908_055234_oow_i_v1.fits.fz         	0.  57273.2440699	15.0   60   F
c4d_150908_055317_ooi_r_v1.fits.fz	SDSSJ0000-0000	r c4d_150908_055317_oow_r_v1.fits.fz  28.115 	0.  57273.24455965	15.0   60   F
c4d_150908_055357_ooi_g_v1.fits.fz	SDSSJ0000-0000	g c4d_150908_055357_oow_g_v1.fits.fz  27.736 	0.  57273.24504359	15.0   60   F
c4d_150908_055644_ooi_g_v1.fits.fz	SDSSJ0320-0000	g c4d_150908_055644_oow_g_v1.fits.fz  27.533 	0.  57273.2469615	15.0   60   F
c4d_150908_055725_ooi_r_v1.fits.fz	SDSSJ0320-0000	r c4d_150908_055725_oow_r_v1.fits.fz  27.974 	0.  57273.24745634	15.0   60   F
c4d_150908_055808_ooi_i_v1.fits.fz	SDSSJ0320-0000	i c4d_150908_055808_oow_i_v1.fits.fz  28.029 	0.  57273.24794499	15.0   60   F
c4d_150908_055850_ooi_z_v1.fits.fz	SDSSJ0320-0000	z c4d_150908_055850_oow_z_v1.fits.fz  27.714 	0.  57273.24843168	15.0   60   F
c4d_150908_055940_ooi_Y_v1.fits.fz	SDSSJ0320-0000	Y c4d_150908_055940_oow_Y_v1.fits.fz  26.845 	0.  57273.24891425	20.0   60   F
# Night 2
c4d_150911_022331_ooi_g_v1.fits.fz	SDSSJ2140-0000	g c4d_150911_022331_oow_g_v1.fits.fz  27.777	0.  57276.09891245	15.0   60   F
c4d_150911_022419_ooi_r_v1.fits.fz	SDSSJ2140-0000	r c4d_150911_022419_oow_r_v1.fits.fz  28.178	0.  57276.09940155	15.0   60   F
c4d_150911_022455_ooi_i_v1.fits.fz	SDSSJ2140-0000	i c4d_150911_022455_oow_i_v1.fits.fz  28.138	0.  57276.09988457	15.0   60   F
c4d_150911_022537_ooi_z_v1.fits.fz	SDSSJ2140-0000	z c4d_150911_022537_oow_z_v1.fits.fz  27.774	0.  57276.10037163	15.0   60   F
c4d_150911_032438_ooi_g_v1.fits.fz	SDSSJ0100-0000	g c4d_150911_032438_oow_g_v1.fits.fz  27.459	0.  57276.14132087	15.0   60   F
c4d_150911_032518_ooi_r_v1.fits.fz	SDSSJ0100-0000	r c4d_150911_032518_oow_r_v1.fits.fz  28.042	0.  57276.14181483	15.0   60   F
c4d_150911_032605_ooi_z_v1.fits.fz	SDSSJ0100-0000	z c4d_150911_032605_oow_z_v1.fits.fz  27.639	0.  57276.14229575	15.0   60   F
c4d_150911_032642_ooi_i_v1.fits.fz	SDSSJ0100-0000	i c4d_150911_032642_oow_i_v1.fits.fz  28.012	0.  57276.14279142	15.0   60   F
c4d_150911_071559_ooi_g_v1.fits.fz	SDSSJ0200-0000	g c4d_150911_071559_oow_g_v1.fits.fz  27.333	0.  57276.30200878	15.0   60   F
c4d_150911_071641_ooi_r_v1.fits.fz	SDSSJ0200-0000	r c4d_150911_071641_oow_r_v1.fits.fz  27.603	0.  57276.30249761	15.0   60   F
c4d_150911_071723_ooi_i_v1.fits.fz	SDSSJ0200-0000	i c4d_150911_071723_oow_i_v1.fits.fz  27.654	0.  57276.30297986	15.0   60   F
c4d_150911_071805_ooi_z_v1.fits.fz	SDSSJ0200-0000	z c4d_150911_071805_oow_z_v1.fits.fz  26.871	0.  57276.30346253	15.0   60   F
c4d_150911_072030_ooi_g_v1.fits.fz	SDSSJ2300-0000	g c4d_150911_072030_oow_g_v1.fits.fz  27.192	0.  57276.30515371	15.0   60   F
c4d_150911_072113_ooi_r_v1.fits.fz	SDSSJ2300-0000	r c4d_150911_072113_oow_r_v1.fits.fz  27.858	0.  57276.30564258	15.0   60   F
c4d_150911_072156_ooi_i_v1.fits.fz	SDSSJ2300-0000	i c4d_150911_072156_oow_i_v1.fits.fz  27.712	0.  57276.30613778	15.0   60   F
c4d_150911_072242_ooi_z_v1.fits.fz	SDSSJ2300-0000	z c4d_150911_072242_oow_z_v1.fits.fz  27.372	0.  57276.30661571	15.0   60   F
# Night 3
c4d_150912_022339_ooi_g_v1.fits.fz	SDSSJ0000-0000	g c4d_150912_022339_oow_g_v1.fits.fz  27.522 	0.  57277.09900669	15.0   60   F
c4d_150912_022422_ooi_r_v1.fits.fz	SDSSJ0000-0000	r c4d_150912_022422_oow_r_v1.fits.fz  28.039 	0.  57277.09950139	15.0   60   F
c4d_150912_022504_ooi_i_v1.fits.fz	SDSSJ0000-0000	i c4d_150912_022504_oow_i_v1.fits.fz  27.998 	0.  57277.09998347	15.0   60   F
c4d_150912_022548_ooi_z_v1.fits.fz	SDSSJ0000-0000	z c4d_150912_022548_oow_z_v1.fits.fz  27.6175	0.  57277.10048993	15.0   60   F
c4d_150912_022746_ooi_g_v1.fits.fz	SDSSJ2140-0000	g c4d_150912_022746_oow_g_v1.fits.fz  27.636 	0.  57277.10186524	15.0   60   F
c4d_150912_022829_ooi_r_v1.fits.fz	SDSSJ2140-0000	r c4d_150912_022829_oow_r_v1.fits.fz  28.005 	0.  57277.10235796	15.0   60   F
c4d_150912_022912_ooi_i_v1.fits.fz	SDSSJ2140-0000	i c4d_150912_022912_oow_i_v1.fits.fz  27.883 	0.  57277.10284569	15.0   60   F
c4d_150912_022954_ooi_z_v1.fits.fz	SDSSJ2140-0000	z c4d_150912_022954_oow_z_v1.fits.fz  27.635 	0.  57277.10333499	15.0   60   F
c4d_150912_071144_ooi_g_v1.fits.fz	SDSSJ0200-0000	g c4d_150912_071144_oow_g_v1.fits.fz  27.827 	0.  57277.29897966	15.0   60   F
c4d_150912_071220_ooi_r_v1.fits.fz	SDSSJ0200-0000	r c4d_150912_071220_oow_r_v1.fits.fz  28.186 	0.  57277.29948031	15.0   60   F
c4d_150912_071304_ooi_i_v1.fits.fz	SDSSJ0200-0000	i c4d_150912_071304_oow_i_v1.fits.fz  28.173 	0.  57277.29997278	15.0   60   F
c4d_150912_071346_ooi_z_v1.fits.fz	SDSSJ0200-0000	z c4d_150912_071346_oow_z_v1.fits.fz  27.831 	0.  57277.30046879	15.0   60   F
c4d_150912_071612_ooi_g_v1.fits.fz	SDSSJ2300-0000	g c4d_150912_071612_oow_g_v1.fits.fz  27.628 	0.  57277.30215542	15.0   60   F
c4d_150912_071659_ooi_r_v1.fits.fz	SDSSJ2300-0000	r c4d_150912_071659_oow_r_v1.fits.fz  28.09  	0.  57277.30265444	15.0   60   F
c4d_150912_071737_ooi_i_v1.fits.fz	SDSSJ2300-0000	i c4d_150912_071737_oow_i_v1.fits.fz  28.067 	0.  57277.30314288	15.0   60   F
c4d_150912_071820_ooi_z_v1.fits.fz	SDSSJ2300-0000	z c4d_150912_071820_oow_z_v1.fits.fz  27.722 	0.  57277.30363036	15.0   60   F
