#  im_file        filter  tile  dither  sky_level   FWHM
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d1_z.fits    z    1    1    5790.7    4.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d2_z.fits    z    1    2    5792.8    4.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d3_z.fits    z    1    3    5430.2    4.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d4_z.fits    z    1    4    5253.1    4.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d5_z.fits    z    1    5    5077.7    4.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d6_z.fits    z    1    6    4767.3    4.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d7_z.fits    z    1    7    3184.2    6.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d8_z.fits    z    1    8    3211.1    6.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d9_z.fits    z    1    9    3124.6    6.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d10_z.fits    z    1    10    2886.7    7.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d11_z.fits    z    1    11    2651.7    8.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d12_z.fits    z    1    12    2765.4    7.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d1_i.fits    i    1    1    8519.8    10.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d2_i.fits    i    1    2    8641.5    9.4
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t1_d3_i.fits    i    1    3    8199.0    8.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d1_i.fits    i    2    1    6588.2    8.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d2_i.fits    i    2    2    6426.2    9.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t2_d3_i.fits    i    2    3    7136.1    8.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d1_i.fits    i    3    1    8055.9    9.0
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d2_i.fits    i    3    2    7178.5    7.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d3_i.fits    i    3    3    5735.1    7.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d1_i.fits    i    4    1    6496.0    7.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d2_i.fits    i    4    2    5863.3    7.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t4_d3_i.fits    i    4    3    5183.9    8.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t5_d1_i.fits    i    5    1    5649.0    7.0
