#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140910_012639_ooi_i_v1.fits.fz    i    1    1    c4d_140910_012639_oow_i_v1.fits.fz    31.75     0.0    56910.052652    600.0    60
c4d_140910_013704_ooi_i_v1.fits.fz    i    1    2    c4d_140910_013704_oow_i_v1.fits.fz    31.67     0.0    56910.059916    600.0    60
c4d_140910_014734_ooi_i_v1.fits.fz    i    1    3    c4d_140910_014734_oow_i_v1.fits.fz    31.36     0.0    56910.067189    600.0    60
c4d_140910_015803_ooi_i_v1.fits.fz    i    1    4    c4d_140910_015803_oow_i_v1.fits.fz    31.60     0.0    56910.074469    600.0    60
c4d_140910_020723_ooi_z_v1.fits.fz    z    4    1    c4d_140910_020723_oow_z_v1.fits.fz    32.51     0.0    56910.083254    400.0    60
c4d_140910_021430_ooi_z_v1.fits.fz    z    4    2    c4d_140910_021430_oow_z_v1.fits.fz    32.47     0.0    56910.088221    400.0    60
c4d_140910_022140_ooi_z_v1.fits.fz    z    4    3    c4d_140910_022140_oow_z_v1.fits.fz    32.49     0.0    56910.093171    400.0    60
c4d_140910_022848_ooi_z_v1.fits.fz    z    4    4    c4d_140910_022848_oow_z_v1.fits.fz    32.49     0.0    56910.098125    400.0    60
c4d_140910_023555_ooi_z_v1.fits.fz    z    4    5    c4d_140910_023555_oow_z_v1.fits.fz    32.63     0.0    56910.103078    400.0    60
c4d_140910_024301_ooi_z_v1.fits.fz    z    4    6    c4d_140910_024301_oow_z_v1.fits.fz    32.69     0.0    56910.108032    400.0    60
c4d_140910_025010_ooi_z_v1.fits.fz    z    4    7    c4d_140910_025010_oow_z_v1.fits.fz    32.65     0.0    56910.112987    400.0    60
c4d_140910_025718_ooi_z_v1.fits.fz    z    4    8    c4d_140910_025718_oow_z_v1.fits.fz    32.68     0.0    56910.117943    400.0    60
c4d_140910_030428_ooi_z_v1.fits.fz    z    4    9    c4d_140910_030428_oow_z_v1.fits.fz    32.64     0.0    56910.122884    400.0    60
c4d_140910_031132_ooi_z_v1.fits.fz    z    4    10    c4d_140910_031132_oow_z_v1.fits.fz    32.62     0.0    56910.127835    400.0    60
c4d_140910_032225_ooi_z_v1.fits.fz    z    6    1    c4d_140910_032225_oow_z_v1.fits.fz    32.99     0.0    56910.135350    400.0    60
c4d_140910_032933_ooi_z_v1.fits.fz    z    6    2    c4d_140910_032933_oow_z_v1.fits.fz    32.99     0.0    56910.140310    400.0    60
c4d_140910_033639_ooi_z_v1.fits.fz    z    6    3    c4d_140910_033639_oow_z_v1.fits.fz    33.00     0.0    56910.145261    400.0    60
c4d_140910_034347_ooi_z_v1.fits.fz    z    6    4    c4d_140910_034347_oow_z_v1.fits.fz    33.04     0.0    56910.150219    400.0    60
c4d_140910_035057_ooi_z_v1.fits.fz    z    6    5    c4d_140910_035057_oow_z_v1.fits.fz    33.01     0.0    56910.155185    400.0    60
