# MJD		filter		zp		k		zp_err		k_err		PHOTFLAG
57273.0    g    25.39    -0.23    0.01    0.01    T
57276.0    g    25.40    -0.25    0.02    0.01    T
57277.0    g    25.34    -0.18    0.01    0.01    T
57273.0    i    25.11    0.09    0.12    0.10    F
57276.0    i    24.98    0.14    0.03    0.03    F
57277.0    i    25.34    -0.05    0.01    0.01    T
57273.0    r    25.49    -0.11    0.01    0.01    T
57276.0    r    25.52    -0.15    0.01    0.01    T
57277.0    r    25.47    -0.09    0.01    0.00    T
57273.0    z    25.09    -0.15    0.01    0.01    T
57276.0    z    23.78    0.61    0.09    0.07    F
57277.0    z    25.00    -0.08    0.01    0.01    T
