# FILE  FILTER  TILE  DITHER  SKY_LEVEL  FWHM  EXPTIME
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d1_z.fits    z    1    1    5790.7    4.3    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d2_z.fits    z    1    2    5792.8    4.6    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d3_z.fits    z    1    3    5430.2    4.7    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d4_z.fits    z    1    4    5253.1    4.7    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d5_z.fits    z    1    5    5077.7    4.9    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d6_z.fits    z    1    6    4767.3    4.9    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d7_z.fits    z    1    7    3184.2    6.2    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d8_z.fits    z    1    8    3211.1    6.7    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t1_d9_z.fits    z    1    9    3124.6    6.5    330.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t5_d2_i.fits    i    5    2    5173.4    6.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t6_d1_i.fits    i    6    1    4884.8    6.7    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d1_i.fits    i    8    1    5708.1    6.8    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d2_i.fits    i    8    2    5690.1    5.4    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t8_d3_i.fits    i    8    3    5507.6    5.2    600.0
/Volumes/Data2/Magellanic_stream/DECam/20130808/pipeline/images/magellanic_stream_t9_d1_i.fits    i    9    1    5665.8    5.9    600.0
