#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
tu1844668.fits.fz    i    1    1    tu1844213.fits.fz    32.56     0.0    56513.118242    600.0    61
tu1843954.fits.fz    i    1    2    tu1843996.fits.fz    32.58     0.0    56513.125538    600.0    61
tu1844361.fits.fz    i    1    3    tu1844056.fits.fz    32.60     0.0    56513.132827    600.0    61
tu1843749.fits.fz    i    2    1    tu1844293.fits.fz    32.50     0.0    56513.140934    600.0    61
tu1844126.fits.fz    i    2    2    tu1843747.fits.fz    32.46     0.0    56513.148211    600.0    61
tu1843862.fits.fz    i    2    3    tu1844793.fits.fz    32.49     0.0    56513.155521    600.0    61
tu1844207.fits.fz    i    3    1    tu1844292.fits.fz    33.07     0.0    56513.163635    600.0    61
tu1844208.fits.fz    i    3    2    tu1843719.fits.fz    33.04     0.0    56513.170968    600.0    61
tu1844440.fits.fz    i    3    3    tu1843834.fits.fz    33.07     0.0    56513.178253    600.0    61
tu1844790.fits.fz    i    4    1    tu1844206.fits.fz    33.79     0.0    56513.191167    600.0    61
tu1844738.fits.fz    i    4    2    tu1844133.fits.fz    33.78     0.0    56513.198447    600.0    61
tu1843924.fits.fz    i    4    3    tu1844205.fits.fz    33.82     0.0    56513.211393    600.0    61
tu1844735.fits.fz    i    5    1    tu1844640.fits.fz    33.80     0.0    56513.219384    600.0    61
tu1843920.fits.fz    i    5    2    tu1843914.fits.fz    33.79     0.0    56513.226674    600.0    61
tu1843745.fits.fz    i    5    3    tu1843746.fits.fz    33.81     0.0    56513.233956    600.0    61
tu1844520.fits.fz    i    6    1    tu1844732.fits.fz    34.27     0.0    56513.246599    600.0    61
tu1843913.fits.fz    i    6    2    tu1844718.fits.fz    34.29     0.0    56513.253877    600.0    61
tu1844784.fits.fz    i    6    3    tu1843910.fits.fz    34.32     0.0    56513.261160    600.0    61
tu1843985.fits.fz    i    7    1    tu1844284.fits.fz    33.19     0.0    56513.269249    600.0    61
tu1843737.fits.fz    i    7    2    tu1844128.fits.fz    33.19     0.0    56513.276535    600.0    61
tu1844426.fits.fz    i    7    3    tu1843812.fits.fz    33.22     0.0    56513.283815    600.0    61
tu1844201.fits.fz    i    8    1    tu1844831.fits.fz    32.87     0.0    56513.320514    600.0    61
tu1843731.fits.fz    i    8    2    tu1843732.fits.fz    32.68     0.0    56513.327803    600.0    61
tu1844480.fits.fz    i    8    3    tu1844279.fits.fz    32.48     0.0    56513.335092    600.0    61
tu1844517.fits.fz    i    9    1    tu1844427.fits.fz    32.71     0.0    56513.343143    600.0    61
tu1843904.fits.fz    i    9    2    tu1844560.fits.fz    32.63     0.0    56513.350431    600.0    61
tu1843729.fits.fz    i    9    3    tu1843810.fits.fz    32.76     0.0    56513.357713    600.0    61
tu1844432.fits.fz    i    8    4    tu1844433.fits.fz    32.75     0.0    56513.365852    600.0    61
tu1844508.fits.fz    i    4    4    tu1844702.fits.fz    33.68     0.0    56513.381747    600.0    61
tu1844623.fits.fz    i    4    5    tu1844422.fits.fz    33.71     0.0    56513.389034    600.0    61
tu1844042.fits.fz    i    4    6    tu1843806.fits.fz    33.69     0.0    56513.396319    600.0    61
tu1843800.fits.fz    i    5    4    tu1843897.fits.fz    33.71     0.0    56513.404884    600.0    61
tu1844040.fits.fz    i    5    5    tu1843724.fits.fz    33.74     0.0    56513.412178    600.0    61
tu1844703.fits.fz    i    5    6    tu1844266.fits.fz    33.84     0.0    56513.419472    600.0    61
tu1844037.fits.fz    i    6    4    tu1844419.fits.fz    34.29     0.0    56513.427499    600.0    61
tu1843721.fits.fz    i    6    5    tu1844268.fits.fz    34.24     0.0    56513.434785    600.0    61
tu1843889.fits.fz    i    1    4    tu1844697.fits.fz    32.67     0.0    56514.103119    600.0    61
tu1844343.fits.fz    i    1    5    tu1844778.fits.fz    32.72     0.0    56514.110388    600.0    61
tu1844341.fits.fz    i    1    6    tu1844189.fits.fz    32.59     0.0    56514.117665    600.0    61
tu1844263.fits.fz    i    1    7    tu1844574.fits.fz    32.73     0.0    56514.124942    600.0    61
tu1843790.fits.fz    i    2    4    tu1844776.fits.fz    32.05     0.0    56514.133047    600.0    61
tu1844262.fits.fz    i    2    5    tu1844261.fits.fz    31.94     0.0    56514.140328    600.0    61
tu1843885.fits.fz    i    2    6    tu1844493.fits.fz    31.83     0.0    56514.147620    600.0    61
tu1843420.fits.fz    g    1    1    tu1843272.fits.fz    30.60     0.0    56514.155705    600.0    61
tu1843331.fits.fz    g    1    2    tu1842932.fits.fz    30.58     0.0    56514.163012    600.0    61
tu1843329.fits.fz    g    1    3    tu1843035.fits.fz    30.51     0.0    56514.170294    600.0    61
tu1842996.fits.fz    g    2    1    tu1843506.fits.fz    30.69     0.0    56514.186404    600.0    61
tu1842927.fits.fz    g    2    2    tu1842926.fits.fz    30.58     0.0    56514.193677    600.0    61
tu1843561.fits.fz    g    2    3    tu1843414.fits.fz    30.56     0.0    56514.200973    600.0    61
tu1843498.fits.fz    g    3    1    tu1842992.fits.fz    30.99     0.0    56514.209076    600.0    61
tu1843365.fits.fz    g    3    2    tu1843323.fits.fz    30.90     0.0    56514.216349    600.0    61
tu1843264.fits.fz    g    3    3    tu1842991.fits.fz    31.02     0.0    56514.223650    600.0    61
tu1844338.fits.fz    i    3    4    tu1844837.fits.fz    32.06     0.0    56514.231075    600.0    61
tu1844773.fits.fz    i    3    5    tu1844569.fits.fz    32.00     0.0    56514.238375    600.0    61
tu1844838.fits.fz    i    3    6    tu1844413.fits.fz    31.87     0.0    56514.245646    600.0    61
tu1842844.fits.fz    g    4    1    tu1843628.fits.fz    30.87     0.0    56514.253904    600.0    61
tu1842896.fits.fz    g    4    2    tu1843262.fits.fz    31.03     0.0    56514.261170    600.0    61
